Id,ten hang,loai hang,kho cua hang,ten nha san xuat,ten nha ban le,thoi diem nhap,thoi diem xuat
1668349528862,Hang 2,Loai Hang,Kho,Nha san xuat,Nha ban le,Sun Nov 13 21:25:28 ICT 2022,Sun Nov 13 21:25:28 ICT 20221668666117358,ten hang,laoi,kho a,nha san xuat,nha ban le,Thu Nov 17 13:21:57 ICT 2022,Thu Nov 17 13:21:57 ICT 2022
1668666132694,ten hang,laoi,kho a,nha san xuat,nha ban le,Thu Nov 17 13:22:12 ICT 2022,Thu Nov 17 13:22:12 ICT 2022
1668666199770,ten hang,laoi,kho a,nha san xuat,nha ban le,Thu Nov 17 13:23:19 ICT 2022,Thu Nov 17 13:23:19 ICT 2022
1668959587952,banh,thuc an,A,nha san xuat,nha ban le,Sun Nov 20 22:53:07 ICT 2022,Sun Nov 20 22:53:07 ICT 2022
1669014766110,banh keo,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766112,banh keo,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766113,banh keo,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766114,banh keo,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766115,banh keo,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766159,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766160,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766162,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766163,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766163,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766164,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766165,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766166,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766168,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766170,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766171,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766173,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766175,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766178,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766179,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766181,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766183,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766185,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766186,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766187,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766188,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766190,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766191,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766192,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766193,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766194,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766194,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766196,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766197,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766198,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766198,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766199,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
1669014766200,banh kem,thuc an,Kho A,nha san xuat,,Mon Nov 21 14:12:46 ICT 2022,Mon Nov 21 14:12:46 ICT 2022
